"filename", "language", "Python", "HTML", "XML", "XSL", "comment", "blank", "total"
"d:\odoo_docker\addons16\nomina_cfdi\__init__.py", "Python", 2, 0, 0, 0, 1, 1, 4
"d:\odoo_docker\addons16\nomina_cfdi\__manifest__.py", "Python", 39, 0, 0, 0, 1, 2, 42
"d:\odoo_docker\addons16\nomina_cfdi\data\cadenaoriginal_4_0.xslt", "XSL", 0, 0, 0, 332, 48, 0, 380
"d:\odoo_docker\addons16\nomina_cfdi\data\cron.xml", "XML", 0, 0, 16, 0, 0, 1, 17
"d:\odoo_docker\addons16\nomina_cfdi\data\inputs.xml", "XML", 0, 0, 21, 0, 0, 0, 21
"d:\odoo_docker\addons16\nomina_cfdi\data\mail_template_data.xml", "XML", 0, 0, 20, 0, 3, 4, 27
"d:\odoo_docker\addons16\nomina_cfdi\data\sequence_data.xml", "XML", 0, 0, 24, 0, 3, 2, 29
"d:\odoo_docker\addons16\nomina_cfdi\models\__init__.py", "Python", 10, 0, 0, 0, 1, 1, 12
"d:\odoo_docker\addons16\nomina_cfdi\models\contract.py", "Python", 171, 0, 0, 0, 4, 16, 191
"d:\odoo_docker\addons16\nomina_cfdi\models\ctalogo_nomina.py", "Python", 19, 0, 0, 0, 1, 7, 27
"d:\odoo_docker\addons16\nomina_cfdi\models\employee.py", "Python", 96, 0, 0, 0, 5, 9, 110
"d:\odoo_docker\addons16\nomina_cfdi\models\horas_extras.py", "Python", 28, 0, 0, 0, 2, 7, 37
"d:\odoo_docker\addons16\nomina_cfdi\models\hr_payroll.py", "Python", 1724, 0, 0, 0, 153, 157, 2034
"d:\odoo_docker\addons16\nomina_cfdi\models\hr_payroll_structure.py", "Python", 4, 0, 0, 0, 1, 2, 7
"d:\odoo_docker\addons16\nomina_cfdi\models\hr_payslip_run.py", "Python", 265, 0, 0, 0, 39, 30, 334
"d:\odoo_docker\addons16\nomina_cfdi\models\res_bank.py", "Python", 4, 0, 0, 0, 1, 3, 8
"d:\odoo_docker\addons16\nomina_cfdi\models\res_company.py", "Python", 85, 0, 0, 0, 7, 7, 99
"d:\odoo_docker\addons16\nomina_cfdi\models\tablas_nomina.py", "Python", 200, 0, 0, 0, 2, 46, 248
"d:\odoo_docker\addons16\nomina_cfdi\models\tzlocal\__init__.py", "Python", 5, 0, 0, 0, 0, 2, 7
"d:\odoo_docker\addons16\nomina_cfdi\models\tzlocal\tests.py", "Python", 87, 0, 0, 0, 16, 32, 135
"d:\odoo_docker\addons16\nomina_cfdi\models\tzlocal\unix.py", "Python", 82, 0, 0, 0, 33, 24, 139
"d:\odoo_docker\addons16\nomina_cfdi\models\tzlocal\win32.py", "Python", 57, 0, 0, 0, 21, 18, 96
"d:\odoo_docker\addons16\nomina_cfdi\models\tzlocal\windows_tz.py", "Python", 685, 0, 0, 0, 3, 3, 691
"d:\odoo_docker\addons16\nomina_cfdi\report\report_payslip.xml", "XML", 0, 0, 486, 0, 8, 0, 494
"d:\odoo_docker\addons16\nomina_cfdi\static\description\index.html", "HTML", 0, 56, 0, 0, 8, 8, 72
"d:\odoo_docker\addons16\nomina_cfdi\views\horas_extras_view.xml", "XML", 0, 0, 76, 0, 0, 5, 81
"d:\odoo_docker\addons16\nomina_cfdi\views\hr_contract_view.xml", "XML", 0, 0, 76, 0, 0, 2, 78
"d:\odoo_docker\addons16\nomina_cfdi\views\hr_employee_view.xml", "XML", 0, 0, 48, 0, 5, 1, 54
"d:\odoo_docker\addons16\nomina_cfdi\views\hr_payroll_payslip_view.xml", "XML", 0, 0, 207, 0, 14, 5, 226
"d:\odoo_docker\addons16\nomina_cfdi\views\hr_payroll_structure.xml", "XML", 0, 0, 13, 0, 1, 0, 14
"d:\odoo_docker\addons16\nomina_cfdi\views\hr_salary_view.xml", "XML", 0, 0, 42, 0, 0, 1, 43
"d:\odoo_docker\addons16\nomina_cfdi\views\menu.xml", "XML", 0, 0, 10, 0, 0, 0, 10
"d:\odoo_docker\addons16\nomina_cfdi\views\res_bank_view.xml", "XML", 0, 0, 13, 0, 1, 0, 14
"d:\odoo_docker\addons16\nomina_cfdi\views\res_company_view.xml", "XML", 0, 0, 21, 0, 2, 0, 23
"d:\odoo_docker\addons16\nomina_cfdi\views\tablas_cfdi_view.xml", "XML", 0, 0, 183, 0, 4, 5, 192
"d:\odoo_docker\addons16\nomina_cfdi\wizard\__init__.py", "Python", 2, 0, 0, 0, 1, 2, 5
"d:\odoo_docker\addons16\nomina_cfdi\wizard\hr_payroll_liquidacion.py", "Python", 267, 0, 0, 0, 42, 36, 345
"d:\odoo_docker\addons16\nomina_cfdi\wizard\hr_payroll_payslips_by_employees.py", "Python", 102, 0, 0, 0, 15, 14, 131
"d:\odoo_docker\addons16\nomina_cfdi\wizard\wizard_liquidacion_view.xml", "XML", 0, 0, 75, 0, 0, 3, 78
"Total", "-", 3934, 56, 1331, 332, 446, 456, 6555
